Healthy, Infected, Recovered, Immune
99995,5,0,0
99992,8,0,0
99989,11,0,0
99986,14,0,0
99983,17,0,0
99983,17,0,0
99983,17,0,0
99983,17,0,0
99983,17,0,0
99982,18,0,0
99978,22,0,0
99977,23,0,0
99973,27,0,0
99971,29,0,0
99970,30,0,0
99968,32,0,0
99967,33,0,0
99965,35,0,0
99961,39,0,0
99959,41,0,0
99958,42,0,0
99957,43,0,0
99955,45,0,0
99952,48,0,0
99949,51,0,0
99949,51,0,0
99949,51,0,0
99949,51,0,0
99945,55,0,0
99944,56,0,0
99942,58,0,0
99939,61,0,0
99935,65,0,0
99934,66,0,0
99933,67,0,0
99927,73,0,0
99922,78,0,0
99920,80,0,0
99918,82,0,0
99913,87,0,0
99910,90,0,0
99908,92,0,0
99904,96,0,0
99896,104,0,0
99890,110,0,0
99887,113,0,0
99884,116,0,0
99882,118,0,0
99880,120,0,0
99878,122,0,0
99875,125,0,0
99871,129,0,0
99869,131,0,0
99865,135,0,0
99861,139,0,0
99855,145,0,0
99853,147,0,0
99847,153,0,0
99840,160,0,0
99838,162,0,0
99834,166,0,0
99830,170,0,0
99826,174,0,0
99824,176,0,0
99820,180,0,0
99813,187,0,0
99811,189,0,0
99809,191,0,0
99805,195,0,0
99800,200,0,0
99796,204,0,0
99790,210,0,0
99788,212,0,0
99782,218,0,0
99775,225,0,0
99770,230,0,0
99766,234,0,0
99759,241,0,0
99753,247,0,0
99740,260,0,0
99736,264,0,0
99728,272,0,0
99721,279,0,0
99717,283,0,0
99712,288,0,0
99706,294,0,0
99697,303,0,0
99688,312,0,0
99681,319,0,0
99676,324,0,0
99661,339,0,0
99653,347,0,0
99646,354,0,0
99639,361,0,0
99631,369,0,0
99622,378,0,0
99613,387,0,0
99601,399,0,0
99596,404,0,0
99588,412,0,0
99582,418,0,0
99572,428,0,0
99562,438,0,0
99554,446,0,0
99547,453,0,0
99534,466,0,0
99523,475,2,0
99516,481,3,0
99506,488,6,0
99499,491,10,0
99493,495,12,0
99487,498,15,0
99486,497,17,0
99478,505,17,0
99470,513,17,0
99459,524,17,0
99454,529,17,0
99448,534,18,0
99440,539,21,0
99437,541,22,0
99431,544,25,0
99429,543,28,0
99423,548,29,0
99415,553,32,0
99406,561,33,0
99397,569,34,0
99394,571,35,0
99387,573,40,0
99378,581,41,0
99374,584,42,0
99365,591,44,0
99360,594,46,0
99352,597,51,0
99344,605,51,0
99337,612,51,0
99330,618,52,0
99325,623,52,0
99313,631,56,0
99304,637,59,0
99292,646,62,0
99284,652,64,0
99272,662,66,0
99267,665,68,0
99256,671,73,0
99250,671,79,0
99241,679,80,0
99233,685,82,0
99225,689,86,0
99219,692,89,0
99211,699,90,0
99202,704,94,0
99198,703,99,0
99189,703,108,0
99187,699,114,0
99180,704,116,0
99174,709,117,0
99171,710,119,0
99169,711,120,0
99161,717,122,0
99155,721,124,0
99148,726,126,0
99143,727,130,0
99132,732,136,0
99123,737,140,0
99118,739,143,0
99104,750,146,0
99092,759,149,0
99087,756,157,0
99080,760,160,0
99070,768,162,0
99055,777,168,0
99046,784,170,0
99037,774,189,0
99027,781,192,0
99017,787,196,0
99010,791,199,0
98996,800,204,0
98985,806,209,0
98980,806,214,0
98969,812,219,0
98961,813,226,0
98956,811,233,0
98946,820,234,0
98938,823,239,0
98932,818,250,0
98922,816,262,0
98912,821,267,0
98904,824,272,0
98896,825,279,0
98888,829,283,0
98884,828,288,0
98871,835,294,0
98859,837,304,0
98846,844,310,0
98835,846,319,0
98822,850,328,0
98808,853,339,0
98794,859,347,0
98782,865,353,0
98772,866,362,0
98764,867,369,0
98751,870,379,0
98744,868,388,0
98736,866,398,0
98730,864,406,0
98719,867,414,0
98710,871,419,0
98703,870,427,0
98700,863,437,0
98692,863,445,0
98684,861,455,0
98673,860,467,0
98664,860,476,0
98661,858,481,0
98654,859,487,0
98643,865,492,0
98639,861,500,0
98632,861,507,0
98615,873,512,0
98605,879,516,0
98593,886,521,0
98583,888,529,0
98570,894,536,0
98556,902,542,0
98543,909,548,0
98531,917,552,0
98521,922,557,0
98510,924,566,0
98499,929,572,0
98490,933,577,0
98476,942,582,0
98470,941,589,0
98453,950,597,0
98445,952,603,0
98433,958,609,0
98417,969,614,0
98406,973,621,0
98391,982,627,0
98384,986,630,0
98367,994,639,0
98353,1002,645,0
98341,1009,650,0
98325,1016,659,0
98308,1027,665,0
98295,1036,669,0
98285,1038,677,0
98270,1041,689,0
98257,1045,698,0
98236,1058,706,0
98214,1071,715,0
98204,1074,722,0
98196,1072,732,0
98182,1077,741,0
98165,1081,754,0
98151,1090,759,0
98139,1093,768,0
98126,1099,775,0
98105,1117,778,0
98088,1121,791,0
98076,1127,797,0
98064,1131,805,0
98049,1141,810,0
98030,1156,814,0
98020,1161,819,0
98004,1174,822,0
98000,1171,829,0
97989,1180,831,0
97972,1191,837,0
97953,1199,848,0
97942,1204,854,0
97930,1210,860,0
97911,1220,869,0
97898,1222,880,0
97882,1233,885,0
97875,1228,897,0
97866,1223,911,0
97855,1227,918,0
97838,1238,924,0
97817,1250,933,0
97808,1248,944,0
97790,1259,951,0
97776,1270,954,0
97762,1284,954,0
97743,1303,954,0
97728,1311,961,0
97710,1325,965,0
97690,1335,975,0
97674,1343,983,0
97653,1357,990,0
97635,1363,1002,0
97621,1366,1013,0
97609,1370,1021,0
97590,1384,1026,0
97575,1389,1036,0
97554,1396,1050,0
97533,1410,1057,0
97521,1415,1064,0
97504,1425,1071,0
97486,1432,1082,0
97463,1447,1090,0
97445,1456,1099,0
97420,1469,1111,0
97405,1478,1117,0
97388,1484,1128,0
97368,1489,1143,0
97342,1510,1148,0
97318,1520,1162,0
97299,1524,1177,0
97270,1536,1194,0
97255,1539,1206,0
97232,1553,1215,0
97212,1561,1227,0
97193,1571,1236,0
97171,1581,1248,0
97146,1599,1255,0
97126,1611,1263,0
97110,1620,1270,0
97092,1625,1283,0
97071,1641,1288,0
97050,1652,1298,0
97033,1663,1304,0
97018,1673,1309,0
96997,1681,1322,0
96973,1699,1328,0
96953,1711,1336,0
96928,1729,1343,0
96900,1751,1349,0
96876,1764,1360,0
96855,1778,1367,0
96822,1797,1381,0
96798,1805,1397,0
96767,1830,1403,0
96743,1845,1412,0
96719,1858,1423,0
96688,1873,1439,0
96664,1881,1455,0
96642,1889,1469,0
96614,1905,1481,0
96586,1924,1490,0
96562,1939,1499,0
96530,1960,1510,0
96507,1971,1522,0
96493,1966,1541,0
96473,1974,1553,0
96448,1994,1558,0
96422,2004,1574,0
96393,2009,1598,0
96372,2020,1608,0
96351,2028,1621,0
96333,2034,1633,0
96310,2044,1646,0
96284,2058,1658,0
96262,2063,1675,0
96240,2069,1691,0
96211,2080,1709,0
96189,2087,1724,0
96166,2099,1735,0
96133,2114,1753,0
96097,2132,1771,0
96070,2139,1791,0
96047,2151,1802,0
96024,2159,1817,0
96004,2170,1826,0
95965,2196,1839,0
95926,2218,1856,0
95894,2234,1872,0
95863,2241,1896,0
95826,2267,1907,0
95791,2294,1915,0
95763,2308,1929,0
95733,2327,1940,0
95700,2341,1959,0
95674,2359,1967,0
95633,2383,1984,0
95607,2400,1993,0
95571,2427,2002,0
95544,2444,2012,0
95508,2461,2031,0
95473,2480,2047,0
95442,2495,2063,0
95413,2511,2076,0
95388,2523,2089,0
95361,2530,2109,0
95335,2547,2118,0
95293,2581,2126,0
95253,2612,2135,0
95217,2636,2147,0
95180,2657,2163,0
95154,2663,2183,0
95128,2669,2203,0
